JobID|ExitCode|State|MaxRSS|Elapsed
13936577_154.batch|0:0|COMPLETED|388015K|01:12:17
13936577_154.extern|0:0|COMPLETED|748K|01:13:04
13936577_155|0:0|COMPLETED||01:22:24
13936577_155.batch|0:0|COMPLETED|388278K|01:22:24
13936577_155.extern|0:0|COMPLETED|748K|01:22:25
13936577_156|0:0|COMPLETED||00:03:27
13936577_156.batch|0:0|COMPLETED|385684K|00:03:27
13936577_156.extern|0:0|COMPLETED|748K|00:03:29
13936577_157|0:0|COMPLETED||01:05:36
13936577_157.batch|0:0|COMPLETED|388043K|01:05:36
13936577_157.extern|0:0|COMPLETED|754K|01:05:38
13936577_158|0:0|COMPLETED||00:06:48
13936577_158.batch|0:0|COMPLETED|385342K|00:06:48
13936577_158.extern|0:0|COMPLETED|744K|00:06:50
13936577_159|0:0|COMPLETED||00:04:40
13936577_159.batch|0:0|COMPLETED|836K|00:04:40
13936577_159.extern|0:0|COMPLETED|744K|00:04:42
13936577_160|0:0|COMPLETED||01:09:41
13936577_160.batch|0:0|COMPLETED|386054K|01:09:41
13936577_160.extern|0:0|COMPLETED|744K|01:09:42
13936577_161|0:0|COMPLETED||00:07:46
13936577_161.batch|0:0|COMPLETED|303571K|00:07:46
13936577_161.extern|0:0|COMPLETED|748K|00:07:50
13936577_162|0:0|COMPLETED||00:02:55
13936577_162.batch|0:0|COMPLETED|838K|00:02:55
13936577_162.extern|0:0|COMPLETED|744K|00:02:59
13936577_163|0:0|COMPLETED||00:04:25
13936577_163.batch|0:0|COMPLETED|977K|00:04:25
13936577_163.extern|0:0|COMPLETED|90K|00:04:34
13936577_164|0:0|COMPLETED||01:24:18
13936577_164.batch|0:0|COMPLETED|377582K|01:24:18
13936577_164.extern|0:0|COMPLETED|94K|01:24:23
13936577_165|0:0|COMPLETED||00:03:21
13936577_165.batch|0:0|COMPLETED|834K|00:03:21
13936577_165.extern|0:0|COMPLETED|748K|00:03:23
13936577_166|0:0|COMPLETED||00:03:21
13936577_166.batch|0:0|COMPLETED|830K|00:03:21
13936577_166.extern|0:0|COMPLETED|746K|00:03:23
13936577_167|0:0|COMPLETED||00:56:51
13936577_167.batch|0:0|COMPLETED|380840K|00:56:51
13936577_167.extern|0:0|COMPLETED|746K|00:56:55
13936577_168|0:0|COMPLETED||01:03:19
13936577_168.batch|0:0|COMPLETED|377379K|01:03:19
